LAI_value,BBCH,date
,,2015-10-30 00:00:00+01:00
,,2015-11-23 00:00:00+01:00
0.48666666666666664,21.0,2016-03-22 00:00:00+01:00
1.67,32.0,2016-04-15 00:00:00+02:00
,37.0,2016-05-09 00:00:00+02:00
,59.0,2016-06-02 00:00:00+02:00
,75.0,2016-06-26 00:00:00+02:00
,89.0,2016-07-21 00:00:00+02:00
