date,LAI_value,BBCH
2017-03-29,1.644444444,25.0
2017-04-05,2.385777778,26.0
2017-04-10,2.316074074,28.0
2017-04-21,3.596333333,28.0
2017-05-02,3.869222222,30.0
2017-05-10,4.561555556,30.0
2017-05-16,5.119666667,32.0
2017-05-26,6.152555556,33.0
2017-05-29,5.847444444,45.0
2017-06-02,5.870888889,58.0
2017-06-08,6.200888889,61.0
2017-06-13,5.502078066,65.0
2017-06-19,5.838606027,69.0
2017-06-26,5.544074659,75.0
2017-07-06,5.371039365,83.0
2017-07-17,0.761747067,87.0
