date,LAI_value,BBCH
2018-04-04,0.280966667,26.0
2018-04-12,1.450777778,28.0
2018-04-18,3.099111111,30.0
2018-04-27,3.826055556,31.0
2018-05-07,4.955,32.0
2018-05-25,5.931555556,58.0
2018-05-30,5.264888889,60.0
2018-06-07,6.376888889,61.0
2018-06-15,5.383799589,65.0
2018-06-21,5.98272587383597,69.0
2018-07-03,3.285020906,85.0
2018-07-13,0.0,87.0
