date,Point_ID,LAI_value,BBCH
2022-05-11 09:48:44,1,2.77,32
2022-05-19 13:14:04,1,3.67,39
2022-05-11 09:58:08,3,2.8,33
2022-05-19 13:20:06,3,3.54,39
2022-05-11 10:04:38,0,2.99,33
2022-05-19 13:25:27,0,3.6,39
2022-05-11 10:11:50,2,2.85,33
2022-05-19 13:30:34,2,3.52,39
